label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
S,0.49588048458099365,0.500176191329956,-4.800039619112795e-07,0.4152694642543793,0.47386449575424194,-0.025968696922063828,0.3525349795818329,0.38740915060043335,-0.03632291406393051,0.3691362142562866,0.2992973327636719,-0.048095252364873886,0.43061575293540955,0.2946836054325104,-0.054818108677864075,0.3838072121143341,0.2966754138469696,0.00265701487660408,0.37458428740501404,0.2507822513580322,-0.037855539470911026,0.39080604910850525,0.32161933183670044,-0.05832168459892273,0.3985832631587982,0.34347859025001526,-0.06670302152633667,0.4308612048625946,0.2790367603302002,-0.002092668553814292,0.4272044897079468,0.24091225862503052,-0.042039670050144196,0.4400474429130554,0.3254116475582123,-0.04649828374385834,0.44020652770996094,0.3367396891117096,-0.03847687318921089,0.4767360985279083,0.2751763164997101,-0.01603754051029682,0.4784289300441742,0.24336010217666626,-0.05498256906867027,0.48472440242767334,0.3252253532409668,-0.041427142918109894,0.4810570180416107,0.3367057740688324,-0.020820902660489082,0.5260948538780212,0.28242552280426025,-0.03349127247929573,0.5192918181419373,0.24386066198349,-0.04896552488207817,0.5215638279914856,0.30885887145996094,-0.03221137449145317,0.5220926403999329,0.3311610817909241,-0.01428378839045763
S,0.47451457381248474,0.5028302669525146,-5.264753895062313e-07,0.3938988149166107,0.47386831045150757,-0.024480672553181648,0.33129170536994934,0.3856216371059418,-0.03416592627763748,0.3497641682624817,0.2989932894706726,-0.04584982991218567,0.41442593932151794,0.2974814176559448,-0.05278853699564934,0.3643984794616699,0.29398244619369507,0.00618052389472723,0.35474610328674316,0.251128613948822,-0.032487835735082626,0.36561110615730286,0.3241235315799713,-0.0515194870531559,0.37242382764816284,0.34324416518211365,-0.059446077793836594,0.4116750955581665,0.2789023518562317,0.0007782746106386185,0.40582215785980225,0.24223054945468903,-0.0381254106760025,0.4131671190261841,0.3292255997657776,-0.04134693741798401,0.4155200719833374,0.33878353238105774,-0.03225739672780037,0.45815742015838623,0.2771136164665222,-0.013920417986810207,0.4577159285545349,0.24553282558918,-0.05292195826768875,0.4594144821166992,0.3299090564250946,-0.03973664343357086,0.4587468206882477,0.3417198657989502,-0.01890108920633793,0.5090806484222412,0.2863730192184448,-0.03195570781826973,0.49741941690444946,0.2447340190410614,-0.047479767352342606,0.49742984771728516,0.3108178377151489,-0.03081008419394493,0.5013658404350281,0.3350524604320526,-0.012689241208136082
S,0.45792078971862793,0.502961277961731,-5.261008482193574e-07,0.3769821524620056,0.47158899903297424,-0.025202501565217972,0.31574422121047974,0.38868802785873413,-0.03644486144185066,0.3330632448196411,0.30518966913223267,-0.04971969127655029,0.39850226044654846,0.3010312616825104,-0.0578281432390213,0.348060667514801,0.29465293884277344,0.00566740520298481,0.3351481556892395,0.2543012499809265,-0.03347151726484299,0.3491553068161011,0.32708457112312317,-0.05144624784588814,0.3595757484436035,0.34021663665771484,-0.058596257120370865,0.39529910683631897,0.28115731477737427,0.00042788844439201057,0.3859320282936096,0.24466991424560547,-0.039968524128198624,0.394384503364563,0.3339434862136841,-0.042233455926179886,0.39908671379089355,0.3394564092159271,-0.031667277216911316,0.4416855275630951,0.2800886631011963,-0.014301594346761703,0.43781694769859314,0.2481483668088913,-0.054849546402692795,0.440167099237442,0.33422502875328064,-0.04064945504069328,0.4424387812614441,0.342583030462265,-0.018087707459926605,0.4929565191268921,0.28986379504203796,-0.03238620609045029,0.4783320426940918,0.2467571198940277,-0.04806121438741684,0.47818297147750854,0.3119412958621979,-0.03077612817287445,0.4844292998313904,0.33401936292648315,-0.011691494844853878
S,0.446488618850708,0.5052955150604248,-5.494439960784803e-07,0.3652523458003998,0.4756588339805603,-0.025420017540454865,0.301079660654068,0.3917213976383209,-0.036764584481716156,0.31495049595832825,0.3051376938819885,-0.050224822014570236,0.381221741437912,0.3036331832408905,-0.05839301645755768,0.3358433246612549,0.2988468408584595,0.005720955319702625,0.319847047328949,0.25638094544410706,-0.03328840062022209,0.3353232741355896,0.33069807291030884,-0.05080922693014145,0.347162663936615,0.34382662177085876,-0.05774066969752312,0.38337916135787964,0.2859943211078644,0.0007563119288533926,0.3700762987136841,0.24559645354747772,-0.03956078737974167,0.37948495149612427,0.33790212869644165,-0.04091445729136467,0.38680052757263184,0.3443363606929779,-0.029340414330363274,0.42989853024482727,0.2856532335281372,-0.013707215897738934,0.4213792085647583,0.2484678477048874,-0.054040614515542984,0.4243544936180115,0.3379349410533905,-0.0383237861096859,0.4297535717487335,0.34801816940307617,-0.01428892184048891,0.4820670783519745,0.29498490691185,-0.03155714273452759,0.46309012174606323,0.2485375553369522,-0.047209300100803375,0.46245741844177246,0.3141590356826782,-0.029341451823711395,0.47099170088768005,0.33725184202194214,-0.009586322121322155
S,0.4306568503379822,0.5138197541236877,-5.756136829404568e-07,0.3509615659713745,0.4863341450691223,-0.026593351736664772,0.28529685735702515,0.39605268836021423,-0.03676699101924896,0.29931968450546265,0.3053905665874481,-0.04864298924803734,0.36692360043525696,0.3055180311203003,-0.0549415647983551,0.32502424716949463,0.29975101351737976,0.0059629748575389385,0.3084697723388672,0.2564980685710907,-0.03197677806019783,0.3215903341770172,0.3332802951335907,-0.04878386855125427,0.33196550607681274,0.34571537375450134,-0.05575912445783615,0.3729143738746643,0.28762468695640564,0.0021387715823948383,0.3582979440689087,0.2456815540790558,-0.03779517486691475,0.3652527332305908,0.3416534960269928,-0.0386674739420414,0.3734597861766815,0.3470892310142517,-0.0266409944742918,0.41910526156425476,0.2883661389350891,-0.011293227784335613,0.4094806909561157,0.24945732951164246,-0.050760481506586075,0.41014766693115234,0.3429538607597351,-0.03405731916427612,0.41666004061698914,0.35218632221221924,-0.009376241825520992,0.4713269770145416,0.2972812056541443,-0.028321312740445137,0.4518304467201233,0.251922070980072,-0.043501000851392746,0.44947484135627747,0.3181750178337097,-0.025731824338436127,0.4583636522293091,0.338879257440567,-0.006026120390743017
S,0.42296338081359863,0.5244898796081543,-6.008611990182544e-07,0.340792179107666,0.49344193935394287,-0.024847863242030144,0.2740359902381897,0.39742085337638855,-0.0335332415997982,0.2877754867076874,0.3038918375968933,-0.04473540186882019,0.3542396128177643,0.3062608540058136,-0.050034549087285995,0.3156443238258362,0.3046663999557495,0.011989042162895203,0.29830944538116455,0.25745096802711487,-0.025360094383358955,0.3113011121749878,0.33792829513549805,-0.042841020971536636,0.3216557204723358,0.3537449836730957,-0.050461798906326294,0.36394500732421875,0.29146426916122437,0.007736205123364925,0.3480985760688782,0.24623006582260132,-0.031933341175317764,0.35524338483810425,0.34434273838996887,-0.03406951576471329,0.3643837571144104,0.35293489694595337,-0.022680655121803284,0.41067013144493103,0.29134228825569153,-0.006174573674798012,0.39831045269966125,0.24965807795524597,-0.04458937421441078,0.399901419878006,0.3467060923576355,-0.0276041142642498,0.40815186500549316,0.35904330015182495,-0.0025812925305217505,0.46411365270614624,0.2996886372566223,-0.02368987165391445,0.4425790309906006,0.25374528765678406,-0.03790222480893135,0.44013702869415283,0.3215470612049103,-0.01996716670691967,0.4498920440673828,0.34294870495796204,-9.154819417744875e-05
S,0.41756853461265564,0.5311734080314636,-6.140236905594065e-07,0.3367731273174286,0.4991876482963562,-0.025451498106122017,0.26849037408828735,0.40162983536720276,-0.033698637038469315,0.2785401940345764,0.30499184131622314,-0.04441612586379051,0.34527748823165894,0.30584967136383057,-0.04879609867930412,0.30985987186431885,0.30825287103652954,0.012090835720300674,0.29134583473205566,0.2580663561820984,-0.025203727185726166,0.30580615997314453,0.33991411328315735,-0.042194221168756485,0.3172670304775238,0.3549429774284363,-0.049723394215106964,0.35774463415145874,0.2947063446044922,0.008060093969106674,0.3408668637275696,0.24531559646129608,-0.03294331207871437,0.34955358505249023,0.34593427181243896,-0.03477717563509941,0.3595975935459137,0.35566914081573486,-0.022654758766293526,0.40427321195602417,0.29428279399871826,-0.005649058613926172,0.39104562997817993,0.24890127778053284,-0.045209649950265884,0.39338138699531555,0.3490704596042633,-0.02716224081814289,0.4022786021232605,0.36311739683151245,-0.0008608694188296795,0.45728930830955505,0.30254581570625305,-0.023072190582752228,0.4364227056503296,0.25660574436187744,-0.037971850484609604,0.4336688816547394,0.32541218400001526,-0.019954141229391098,0.44254493713378906,0.3470003306865692,0.00024158641463145614
S,0.4140748977661133,0.5373130440711975,-6.252502657844161e-07,0.3319514989852905,0.5029592514038086,-0.026112278923392296,0.2646716833114624,0.40608617663383484,-0.035284217447042465,0.27675288915634155,0.30866873264312744,-0.04700491577386856,0.3431210219860077,0.3071705102920532,-0.05248439311981201,0.30589020252227783,0.31391581892967224,0.011055917479097843,0.2874675989151001,0.2604080140590668,-0.026776611804962158,0.30156153440475464,0.3436831831932068,-0.044091854244470596,0.31209033727645874,0.3588706851005554,-0.051866475492715836,0.3537939190864563,0.3004046082496643,0.0070388419553637505,0.3363817632198334,0.24722342193126678,-0.03463808819651604,0.3454899489879608,0.3485768735408783,-0.03640877828001976,0.35541561245918274,0.35913461446762085,-0.02417498268187046,0.4002516269683838,0.29961904883384705,-0.0067444005981087685,0.3864932656288147,0.24979788064956665,-0.04736465588212013,0.38883689045906067,0.35080236196517944,-0.02957623451948166,0.3976702392101288,0.36717700958251953,-0.003236965276300907,0.4526420831680298,0.3077786862850189,-0.024230407550930977,0.43181759119033813,0.25861501693725586,-0.03998399153351784,0.4288071393966675,0.32789769768714905,-0.022146735340356827,0.43769070506095886,0.35123535990715027,-0.0019796467386186123
S,0.4114707112312317,0.5423838496208191,-6.292864895840466e-07,0.32910943031311035,0.5084542036056519,-0.025625860318541527,0.26173633337020874,0.41082605719566345,-0.034964289516210556,0.2726050913333893,0.31254908442497253,-0.04687338322401047,0.33853068947792053,0.31084081530570984,-0.052798081189394,0.30259937047958374,0.3190039396286011,0.010060014203190804,0.28307873010635376,0.26396626234054565,-0.027379149571061134,0.2980632781982422,0.34589841961860657,-0.04437841847538948,0.31033411622047424,0.3626093566417694,-0.051800329238176346,0.35036563873291016,0.30500462651252747,0.006097907666116953,0.3328098654747009,0.2509429454803467,-0.034460071474313736,0.34225916862487793,0.35164153575897217,-0.03548664227128029,0.3527933955192566,0.36413460969924927,-0.02300412394106388,0.39683079719543457,0.3040207624435425,-0.0074541461654007435,0.38290560245513916,0.2540135681629181,-0.04774327203631401,0.3855205178260803,0.35455816984176636,-0.03033975139260292,0.3947547674179077,0.37328895926475525,-0.004376279655843973,0.44917625188827515,0.3122163712978363,-0.024534763768315315,0.4275795519351959,0.2625986337661743,-0.04040397331118584,0.42492175102233887,0.3319709599018097,-0.022755960002541542,0.4341793656349182,0.3567869961261749,-0.0027825336437672377
S,0.40985363721847534,0.547911524772644,-6.342198730635573e-07,0.3270801901817322,0.5160828232765198,-0.02660478465259075,0.25995463132858276,0.4184025526046753,-0.03647896647453308,0.2714654207229614,0.3191947042942047,-0.048590149730443954,0.3365422785282135,0.3161984086036682,-0.05483577400445938,0.30037713050842285,0.32371190190315247,0.008279293775558472,0.28028547763824463,0.2708147466182709,-0.028499430045485497,0.29456427693367004,0.3521108329296112,-0.04515860602259636,0.3068671226501465,0.36745741963386536,-0.05271201953291893,0.3476722836494446,0.3090781569480896,0.004784322343766689,0.3299936354160309,0.25754407048225403,-0.03504301607608795,0.3392125368118286,0.35740482807159424,-0.035601161420345306,0.34982776641845703,0.36915573477745056,-0.023217329755425453,0.39377254247665405,0.30818429589271545,-0.008235576562583447,0.3797931969165802,0.2598235607147217,-0.04821327328681946,0.3821641504764557,0.35946062207221985,-0.03091585449874401,0.3914133608341217,0.3775864839553833,-0.0054650092497467995,0.4459061324596405,0.31656503677368164,-0.024875465780496597,0.42419013381004333,0.2684139609336853,-0.04127422347664833,0.42137470841407776,0.3378680646419525,-0.024102505296468735,0.43041905760765076,0.36276736855506897,-0.004597031977027655
